Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,id
18,1981-07-15,134.0,Le Bourg-d'Oisans,Le Pleynet,Mountain,Bernard Hinault,FRA,74
19,1981-07-16,118.0,Veurey,Saint-Priest,Flat,Daniel Willems,BEL,130
20,1981-07-17,46.0,Saint-Priest,Saint-Priest,Time Trial,Bernard Hinault,FRA,74
21,1981-07-18,207.0,Auxerre,Fontenay-sous-Bois,Flat,Johan van der Velde,NED,412
22,1981-07-19,187.0,Fontenay-sous-Bois,Paris,Flat,Freddy Maertens,BEL,243
P,1980-06-26,8.0,Frankfurt,Frankfurt,Time Trial,Bernard Hinault,FRA,74
1a,1980-06-27,133.0,Frankfurt,Wiesbaden,Flat,Jan Raas,NED,359
1b,1980-06-27,46.0,Wiesbaden,Frankfurt,Time Trial,TI–Raleigh–Creda,NA,798
2,1980-06-28,276.0,Frankfurt,Metz,Flat,Rudy Pevenage,BEL,755
3,1980-06-29,282.0,Metz,Liège,Flat,Henk Lubberding,NED,321
4,1980-06-30,35.0,Spa,Spa,Time Trial,Bernard Hinault,FRA,74
5,1980-07-01,249.0,Liège,Lille,Flat,Bernard Hinault,FRA,74
6,1980-07-02,216.0,Lille,Compiègne,Flat,Jean-Louis Gauthier,FRA,385
7a,1980-07-03,65.0,Compiègne,Beauvais,Time Trial,TI–Raleigh–Creda,NA,798
7b,1980-07-03,92.0,Beauvais,Rouen,Flat,Jan Raas,NED,359
8,1980-07-04,164.0,Flers,Saint-Malo,Flat,Bert Oosterbosch,NED,84
9,1980-07-06,205.0,Saint-Malo,Nantes,Flat,Jan Raas,NED,359
10,1980-07-07,163.0,Rochefort,Bordeaux,Flat,Cees Priem,NED,100
11,1980-07-08,52.0,Damazan,Laplume,Time Trial,Joop Zoetemelk,NED,414
12,1980-07-09,194.0,Agen,Pau,Flat,Gerrie Knetemann,NED,272
13,1980-07-10,200.0,Pau,Bagnères-de-Luchon,Mountain,Raymond Martin,FRA,694
14,1980-07-11,189.0,Lézignan-Corbières,Montpellier,Flat,Ludo Peeters,BEL,515
15,1980-07-12,160.0,Montpellier,Martigues,Flat,Bernard Vallet,FRA,79
16,1980-07-13,209.0,Trets,Pra-Loup,Mountain,Jos De Schoenmaecker,BEL,415
17,1980-07-14,242.0,Serre Chevalier,Morzine,Mountain,Mariano Martínez,FRA,551
18,1980-07-16,199.0,Morzine,Prapoutel,Mountain,Ludo Loos,BEL,514
19,1980-07-17,140.0,Voreppe,Saint-Étienne,Hilly,Sean Kelly,IRE,768
20,1980-07-18,34.0,Saint-Étienne,Saint-Étienne,Time Trial,Joop Zoetemelk,NED,414
21,1980-07-19,208.0,Auxerre,Fontenay-sous-Bois,Flat,Sean Kelly,IRE,768
22,1980-07-20,186.0,Fontenay-sous-Bois,Paris,Flat,Pol Verschuere,BEL,679
P,1979-06-27,5.0,Fleurance,Fleurance,Time Trial,Gerrie Knetemann,NED,272
1,1979-06-28,225.0,Fleurance,Luchon,Mountain,René Bittinger,FRA,703
2,1979-06-29,24.0,Luchon,Superbagnères,Time Trial,Bernard Hinault,FRA,74
3,1979-06-30,180.0,Luchon,Pau,Mountain,Bernard Hinault,FRA,74
4,1979-07-01,87.0,Captieux,Bordeaux,Time Trial,TI–Raleigh–McGregor,NA,799
5,1979-07-02,145.0,Neuville-de-Poitou,Angers,Flat,Jan Raas,NED,359
6,1979-07-03,239.0,Angers,Saint-Brieuc,Flat,Jos Jacobs,BEL,418
7,1979-07-04,158.0,Saint-Hilaire-du-Harcouët,Deauville,Flat,Leo van Vliet,NED,484
8,1979-07-05,90.0,Deauville,Le Havre,Time Trial,TI–Raleigh–McGregor,NA,799
9,1979-07-06,201.0,Amiens,Roubaix,Flat,Ludo Delcroix,BEL,512
10,1979-07-07,124.0,Roubaix,Brussels,Flat,Jo Maas,NED,403
11,1979-07-08,33.0,Brussels,Brussels,Time Trial,Bernard Hinault,FRA,74
12,1979-07-09,193.0,Rochefort,Metz,Flat,Christian Seznec,FRA,111
13,1979-07-10,202.0,Metz,Ballon d'Alsace,Hilly,Pierre-Raymond Villemiane,FRA,672
14,1979-07-11,248.0,Belfort,Évian-les-Bains,Flat,Marc Demeyer,BEL,529
15,1979-07-12,54.0,Évian-les-Bains,Morzine Avoriaz,Time Trial,Bernard Hinault,FRA,74
16,1979-07-13,201.0,Morzine Avoriaz,Les Menuires,Mountain,Lucien Van Impe,BEL,511
17,1979-07-15,167.0,Les Menuires,Alpe d'Huez,Mountain,Joaquim Agostinho,POR,405
18,1979-07-16,119.0,Alpe d'Huez,Alpe d'Huez,Mountain,Joop Zoetemelk,NED,414
19,1979-07-17,162.0,Alpe d'Huez,Saint-Priest,Flat,Dietrich Thurau,GER,143
20,1979-07-18,240.0,Saint-Priest,Dijon,Flat,Serge Parsani,ITA,773
21,1979-07-19,49.0,Dijon,Dijon,Time Trial,Bernard Hinault,FRA,74
22,1979-07-20,189.0,Dijon,Auxerre,Flat,Gerrie Knetemann,NED,272
23,1979-07-21,205.0,Auxerre,Nogent-sur-Marne,Flat,Bernard Hinault,FRA,74
24,1979-07-22,180.0,Le Perreux-sur-Marne,Paris,Flat,Bernard Hinault,FRA,74
P,1978-06-29,5.0,Leiden,Leiden,Time Trial,Jan Raas,NED,359
1a,1978-06-30,135.0,Leiden,Sint Willebrord,Flat,Jan Raas,NED,359
1b,1978-06-30,100.0,Sint Willebrord,Brussels,Flat,Walter Planckaert,BEL,838
2,1978-07-01,199.0,Brussels,Saint-Amand-les-Eaux,Flat,Jacques Esclassan,FRA,349
3,1978-07-02,244.0,Saint-Amand-les-Eaux,Saint-Germain-en-Laye,Flat,Klaus-Peter Thaler,GER,468
4,1978-07-03,153.0,Évreux,Caen,Time Trial,TI–Raleigh–McGregor,NA,799
5,1978-07-04,244.0,Caen,Mazé-Montgeoffroy,Flat,Freddy Maertens,BEL,243
6,1978-07-05,162.0,Mazé-Montgeoffroy,Poitiers,Flat,Sean Kelly,IRE,768
7,1978-07-06,242.0,Poitiers,Bordeaux,Flat,Freddy Maertens,BEL,243
8,1978-07-07,59.0,Saint-Émilion,Sainte-Foy-la-Grande,Time Trial,Bernard Hinault,FRA,74
9,1978-07-08,233.0,Bordeaux,Biarritz,Flat,Miguel Maria Lasa,ESP,598
10,1978-07-10,192.0,Biarritz,Pau,Hilly,Henk Lubberding,NED,321
